Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0,00119047619047619;--;--;--;--;An entity's length was changed while traveling on a link
0,00119047619047619;--;--;--;--;The length of the entity 'DefaultEntity.47' was changed while traveling on the link 'Path4'.

